Species,1900-1909,1910-1919,1920-1929,1930-1939,1940-1949,1950-1959,1960-1969,1970-1979,1980-1989,1990-1999
Blue,4830,3040,2738,1126,554,1483,1731,35,0,0
Fin,12570,18548,23977,12599,11931,25137,30824,9769,2252,0
Sperm,294,3449,7512,11793,21666,64092,153193,82429,4960,0
Humpback,4409,7437,8005,2513,923,2538,7700,60,0,0
Sei,2903,6460,7677,5446,5255,10941,33439,14253,577,0
Bryde's,0,0,20,4,418,934,480,4940,3786,1
Minke,0,38,156,7578,23752,38976,36929,37550,17606,3418
Gray,0,1057,550,747,480,28,339,0,0,0
Right,92,72,88,46,35,84,676,15,0,0
Unspec.,11212,2153,147,2250,43,299,4,5,13,0
Total,36310,42254,50870,44102,65057,144512,265315,149056,29194,3419
