"year","event_type"
-2580,"construction_start"
-2570,"decade"
-2560,"construction_end"
-2550,"construction_start"
-2540,"decade"
-2530,"construction_end"
-2520,"decade"
-2510,"decade"
-2500,"decade"
-2490,"decade"
-2480,"decade"
-2470,"decade"
-2460,"decade"
-2450,"decade"
-2440,"decade"
-2430,"decade"
-2420,"decade"
-2410,"decade"
-2400,"decade"
-2390,"decade"
-2380,"decade"
-2370,"decade"
-2360,"decade"
-2350,"decade"
-2340,"decade"
-2330,"decade"
-2320,"decade"
-2310,"decade"
-2300,"decade"
-2290,"decade"
-2280,"decade"
-2270,"decade"
-2260,"decade"
-2250,"decade"
-2240,"decade"
-2230,"decade"
-2220,"decade"
-2210,"decade"
-2200,"decade"
-2190,"decade"
-2180,"decade"
-2170,"decade"
-2160,"decade"
-2150,"decade"
-2140,"decade"
-2130,"decade"
-2120,"decade"
-2110,"decade"
-2100,"decade"
-2090,"decade"
-2080,"decade"
-2070,"decade"
-2060,"decade"
-2050,"decade"
-2040,"decade"
-2030,"decade"
-2020,"decade"
-2010,"decade"
-2000,"decade"
-1990,"decade"
-1980,"decade"
-1970,"decade"
-1960,"decade"
-1950,"decade"
-1940,"decade"
-1930,"decade"
-1920,"decade"
-1910,"decade"
-1900,"decade"
-1890,"decade"
-1880,"decade"
-1870,"decade"
-1860,"decade"
-1850,"decade"
-1840,"decade"
-1830,"decade"
-1820,"decade"
-1810,"decade"
-1800,"decade"
-1790,"decade"
-1780,"decade"
-1770,"decade"
-1760,"decade"
-1750,"decade"
-1740,"decade"
-1730,"decade"
-1720,"decade"
-1710,"decade"
-1700,"decade"
-1690,"decade"
-1680,"decade"
-1670,"decade"
-1660,"decade"
-1650,"decade"
-1640,"decade"
-1630,"decade"
-1620,"decade"
-1610,"decade"
-1600,"decade"
-1590,"decade"
-1580,"decade"
-1570,"decade"
-1560,"decade"
-1550,"decade"
-1540,"decade"
-1530,"decade"
-1520,"decade"
-1510,"decade"
-1500,"decade"
-1490,"decade"
-1480,"decade"
-1470,"decade"
-1460,"decade"
-1450,"decade"
-1440,"decade"
-1430,"decade"
-1420,"decade"
-1410,"decade"
-1400,"decade"
-1390,"decade"
-1380,"decade"
-1370,"decade"
-1360,"decade"
-1350,"decade"
-1340,"decade"
-1330,"decade"
-1320,"decade"
-1310,"decade"
-1300,"decade"
-1290,"decade"
-1280,"decade"
-1270,"decade"
-1260,"decade"
-1250,"decade"
-1240,"decade"
-1230,"decade"
-1220,"decade"
-1210,"decade"
-1200,"decade"
-1190,"decade"
-1180,"decade"
-1170,"decade"
-1160,"decade"
-1150,"decade"
-1140,"decade"
-1130,"decade"
-1120,"decade"
-1110,"decade"
-1100,"decade"
-1090,"decade"
-1080,"decade"
-1070,"decade"
-1060,"decade"
-1050,"decade"
-1040,"decade"
-1030,"decade"
-1020,"decade"
-1010,"decade"
-1000,"decade"
-990,"decade"
-980,"decade"
-970,"decade"
-960,"decade"
-950,"decade"
-940,"decade"
-930,"decade"
-920,"decade"
-910,"decade"
-900,"decade"
-890,"decade"
-880,"decade"
-870,"decade"
-860,"decade"
-850,"decade"
-840,"decade"
-830,"decade"
-820,"decade"
-810,"decade"
-800,"decade"
-790,"decade"
-780,"decade"
-770,"decade"
-760,"decade"
-750,"decade"
-740,"decade"
-730,"decade"
-720,"decade"
-710,"decade"
-700,"decade"
-690,"decade"
-680,"decade"
-670,"decade"
-660,"decade"
-650,"decade"
-640,"decade"
-630,"decade"
-620,"decade"
-610,"decade"
-600,"decade"
-590,"decade"
-580,"decade"
-570,"decade"
-560,"decade"
-550,"decade"
-540,"decade"
-530,"decade"
-520,"decade"
-510,"decade"
-500,"decade"
-490,"decade"
-480,"decade"
-470,"decade"
-460,"decade"
-450,"decade"
-440,"decade"
-430,"decade"
-420,"decade"
-410,"decade"
-400,"decade"
-390,"decade"
-380,"decade"
-370,"decade"
-360,"decade"
-350,"decade"
-340,"decade"
-330,"decade"
-320,"decade"
-310,"decade"
-300,"decade"
-290,"decade"
-280,"decade"
-270,"decade"
-260,"decade"
-250,"decade"
-240,"decade"
-230,"decade"
-220,"decade"
-210,"decade"
-200,"decade"
-190,"decade"
-180,"decade"
-170,"decade"
-161,"construction_start"
-160,"decade"
-150,"decade"
-140,"construction_end"
-130,"decade"
-120,"decade"
-110,"decade"
-100,"decade"
-90,"decade"
-80,"decade"
-70,"decade"
-60,"decade"
-50,"decade"
-40,"decade"
-30,"decade"
-20,"decade"
-10,"decade"
0,"decade"
10,"decade"
20,"decade"
30,"decade"
40,"decade"
50,"decade"
60,"decade"
70,"decade"
80,"decade"
90,"decade"
100,"construction_start"
110,"decade"
112,"construction_start"
120,"decade"
130,"decade"
134,"construction_end"
140,"decade"
150,"construction_start"
160,"decade"
170,"decade"
180,"decade"
190,"decade"
200,"construction_start"
210,"decade"
220,"decade"
230,"decade"
240,"decade"
250,"construction_end"
260,"decade"
270,"decade"
280,"decade"
290,"construction_start"
300,"decade"
305,"construction_end"
310,"decade"
320,"decade"
330,"decade"
340,"decade"
350,"construction_end"
360,"decade"
370,"decade"
380,"decade"
390,"decade"
400,"construction_end"
410,"decade"
420,"decade"
430,"decade"
440,"decade"
450,"decade"
460,"decade"
470,"decade"
480,"decade"
490,"decade"
500,"decade"
510,"decade"
520,"decade"
530,"decade"
532,"construction_start"
537,"construction_end"
540,"decade"
550,"decade"
553,"construction_start"
560,"decade"
570,"decade"
580,"decade"
590,"decade"
600,"decade"
610,"decade"
620,"decade"
623,"construction_start"
630,"decade"
640,"decade"
644,"construction_end"
650,"decade"
660,"decade"
670,"decade"
680,"decade"
690,"decade"
700,"construction_start"
710,"decade"
720,"decade"
730,"decade"
731,"construction_start"
740,"decade"
741,"construction_end"
743,"construction_start"
750,"decade"
752,"construction_end"
760,"decade"
770,"decade"
780,"decade"
790,"decade"
800,"destruction"
810,"decade"
820,"decade"
830,"decade"
840,"decade"
850,"decade"
860,"decade"
870,"decade"
880,"decade"
890,"decade"
900,"decade"
910,"decade"
920,"decade"
930,"decade"
940,"decade"
950,"decade"
960,"decade"
970,"decade"
980,"decade"
990,"decade"
1000,"decade"
1001,"construction_start"
1003,"construction_start"
1010,"construction_end"
1015,"construction_start"
1020,"decade"
1030,"construction_start"
1040,"decade"
1050,"decade"
1055,"construction_end"
1056,"construction_end"
1060,"decade"
1070,"decade"
1072,"construction_start"
1080,"decade"
1090,"decade"
1096,"construction_start"
1100,"construction_end"
1110,"decade"
1113,"construction_start"
1120,"decade"
1126,"construction_start"
1130,"decade"
1137,"construction_start"
1138,"construction_start"
1140,"decade"
1150,"construction_end"
1153,"construction_start"
1160,"decade"
1163,"construction_start"
1170,"construction_end"
1180,"decade"
1186,"construction_end"
1189,"construction_start"
1190,"construction_start"
1192,"construction_start"
1194,"construction_end"
1195,"construction_end"
1197,"construction_start"
1200,"decade"
1210,"decade"
1215,"destruction"
1220,"construction_end"
1225,"construction_start"
1230,"construction_start"
1238,"destruction"
1240,"decade"
1245,"construction_start"
1248,"construction_start"
1250,"decade"
1258,"construction_end"
1260,"decade"
1267,"construction_start"
1269,"construction_end"
1270,"decade"
1280,"decade"
1290,"decade"
1296,"construction_start"
1300,"decade"
1303,"destruction"
1304,"construction_start"
1305,"construction_end"
1310,"decade"
1311,"construction_end"
1320,"decade"
1330,"construction_end"
1340,"decade"
1344,"construction_start"
1345,"construction_end"
1350,"decade"
1356,"construction_start"
1360,"decade"
1362,"construction_start"
1364,"construction_end"
1370,"decade"
1377,"construction_start"
1380,"decade"
1384,"construction_start"
1386,"construction_start"
1390,"decade"
1400,"decade"
1401,"construction_start"
1410,"decade"
1412,"construction_start"
1420,"decade"
1430,"decade"
1431,"construction_end"
1433,"construction_end"
1436,"construction_end"
1439,"construction_end"
1440,"decade"
1450,"construction_end"
1460,"decade"
1470,"decade"
1472,"construction_end"
1478,"construction_end"
1480,"decade"
1485,"construction_end"
1490,"decade"
1500,"construction_start"
1505,"construction_start"
1506,"destruction"
1507,"construction_start"
1508,"construction_end"
1510,"decade"
1513,"construction_end"
1517,"construction_end"
1519,"construction_end"
1520,"decade"
1530,"decade"
1540,"decade"
1548,"destruction"
1549,"construction_end"
1550,"construction_end"
1555,"construction_start"
1557,"construction_end"
1560,"decade"
1561,"construction_end"
1568,"construction_start"
1569,"construction_end"
1570,"construction_start"
1573,"destruction"
1575,"construction_end"
1580,"construction_start"
1585,"construction_end"
1590,"decade"
1600,"decade"
1609,"construction_start"
1610,"decade"
1616,"construction_end"
1620,"decade"
1625,"destruction"
1626,"construction_end"
1628,"construction_end"
1630,"decade"
1640,"decade"
1645,"construction_start"
1647,"destruction"
1648,"construction_start"
1650,"construction_start"
1660,"decade"
1670,"decade"
1675,"construction_start"
1680,"decade"
1690,"decade"
1694,"construction_end"
1700,"decade"
1708,"construction_end"
1710,"construction_end"
1720,"decade"
1730,"decade"
1740,"construction_start"
1750,"decade"
1760,"decade"
1762,"construction_end"
1770,"construction_end"
1775,"construction_end"
1780,"decade"
1790,"decade"
1800,"decade"
1810,"decade"
1818,"construction_start"
1820,"decade"
1822,"destruction"
1823,"construction_start"
1830,"construction_start"
1839,"construction_start"
1840,"decade"
1842,"destruction"
1843,"construction_start"
1850,"decade"
1851,"construction_end"
1853,"construction_start"
1854,"construction_start"
1856,"destruction"
1857,"construction_end"
1858,"construction_end"
1859,"construction_end"
1860,"decade"
1864,"construction_start"
1868,"construction_start"
1870,"decade"
